unique_row_id,match_id,match_alternative_id,match_type,match_date,home_team_id,home_team,visiting_team_id,visiting_team,set_number,home_team_score,visiting_team_score,rally_number,point_won_by,serving_team,receiving_team,setter_position,home_setter_position,visiting_setter_position,possession_number,video_time,code,custom_code,point_phase,attack_phase,team,player_id,player_name,player_number,skill,skill_type,skill_subtype,evaluation_code,attack_code,set_code,set_type,start_zone,end_zone,end_subzone,num_players_numeric,start_coordinate,mid_coordinate,end_coordinate,start_coordinate_x,start_coordinate_y,mid_coordinate_x,mid_coordinate_y,end_coordinate_x,end_coordinate_y,home_p1,home_p2,home_p3,home_p4,home_p5,home_p6,visiting_p1,visiting_p2,visiting_p3,visiting_p4,visiting_p5,visiting_p6,file_id,file_name,created_by,create_datetime
0,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,0.0,0,0,0,,*P03>LUp,,Reception,,Belluno Volley,,,,,,,L,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
1,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,6.0,6,0,0,,*z6>LUp,,Reception,,Belluno Volley,,,,,,,U,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
2,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,0.0,6,0,0,,aP01>LUp,,Serve,,Personal Time San Donà di Piave,,,,,,,L,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
3,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,5.0,6,5,0,,az5>LUp,,Serve,,Personal Time San Donà di Piave,,,,,,,U,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
4,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,5.0,6,5,1,175.0,a08SM+~~~19D~~~1,1,Serve,,Personal Time San Donà di Piave,FIL-MAT-05,Mattia Filippelli,8.0,Serve,Jump-float serve,Jump Float,+,,,,1,9,D,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
5,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,6.0,6,5,2,175.0,*18RM-~~~19DO5,,Reception,,Belluno Volley,LOG-GIA-98,GIANLUCA LOGLISCI,18.0,Reception,Jump-float serve reception,Jump Float,-,,,,1,9,D,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
6,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,6.0,6,5,2,176.0,*03EH+~~B,,Reception,,Belluno Volley,MAR-SEB-96,SEBASTIANO MARSILI,3.0,Set,High ball set,,+,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
7,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,6.0,6,5,2,177.0,*06AH#V6~26~H2,,Reception,Reception,Belluno Volley,GIA-STE-89,STEFANO GIANNOTTI,6.0,Attack,High ball attack,Hard,#,V6,,,2,6,,2.0,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
8,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,0,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,5.0,6,5,3,177.0,a06DH=~~~29C,,Serve,,Personal Time San Donà di Piave,BAR-GIO-04,Gioele Barbon,6.0,Dig,High ball dig,Float,=,,,,2,9,C,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
9,9ac5b417,2025-10-08 | 6727 | 6736,Amichevole,2025-10-08,6727,Belluno Volley,6736,Personal Time San Donà di Piave,1,1,0,1,Belluno Volley,Personal Time San Donà di Piave,Belluno Volley,6.0,6,5,4,180.0,*p01:00,,Reception,,Belluno Volley,,,,Point,,,0,,,,,,,,,,,,,,,,,18.0,8.0,6.0,12.0,2.0,3.0,8.0,6.0,2.0,18.0,1.0,7.0,1o0nntfHRb6cULOjfWudV8jSC4dwlMAh7,&2025-10-08ami02belluno-sandona_syn_mantova.dvw,system,2025-12-02 22:18:06
